Year,mean_SST,max_SST,Year_Benthic
2006,26.399589047366625,30.209999084472656,2007
2007,26.236904118159046,29.270000457763672,2008
2008,26.61101096835944,29.760000228881836,2009
2009,26.688356138255497,30.059999465942383,2010
2010,27.279041081258697,30.18000030517578,2011
2011,26.44964382746448,29.350000381469727,2012
2012,26.50964477935124,29.450000762939453,2013
2013,26.51764389456135,29.940000534057617,2014
2014,26.503616479324968,28.93000030517578,2015
2015,26.770191819700475,30.700000762939453,2016
2016,27.069098410059194,30.260000228881836,2017
2017,27.13665750059363,30.579999923706055,2018
2018,26.850876737620734,29.84000015258789,2019
2019,26.433671235385006,28.979999542236328,2020
2020,27.159781346555615,30.81999969482422,2021
2021,27.227685965125556,30.270000457763672,2022
2022,27.530934040363018,30.170000076293945,2023
2023,26.94057688870273,29.420000076293945,2024
2024,27.022168676537202,29.969999313354492,2025
